# MAG-FI RAW MAPPING DATA
# Mapper: Shanteshwar
# Building: 1
# Floor: 3
# Exported: 20260523_084454
# Total rows: 150

timestamp,step_count,pos_x,pos_y,heading,mag_x,mag_y,mag_z,wifi_payload
1779506016553,52,22.42,29.86,53.1,13.48,17.56,-4.76,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506017205,53,22.84,30.44,54.1,13.14,18.16,-3.06,"{"VIT_VIP": -54; "VIT_Staff": -55; "VIT_TPO": -56; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506017539,53,22.84,30.44,58.4,10.55,16.58,-3.21,"{"VIT_VIP": -54; "VIT_Staff": -55; "VIT_TPO": -56; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506017707,54,23.25,31.03,54.9,9.84,13.40,-2.51,"{"VIT_VIP": -54; "VIT_Staff": -55; "VIT_TPO": -56; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506018346,55,23.72,31.58,50.1,11.11,13.51,0.29,"{"VIT_VIP": -54; "VIT_Staff": -55; "VIT_TPO": -56; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506018541,55,23.72,31.58,49.9,11.67,13.66,1.40,"{"VIT_VIP": -54; "VIT_Staff": -55; "VIT_TPO": -56; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506018948,56,24.18,32.13,49.3,11.85,13.94,0.38,"{"VIT_VIP": -54; "VIT_Staff": -55; "VIT_TPO": -56; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506019544,56,24.18,32.13,53.2,14.27,19.04,-1.53,"{"VIT_VIP": -54; "VIT_Staff": -55; "VIT_TPO": -56; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506019667,57,24.62,32.70,52.6,14.79,19.01,-1.90,"{"VIT_VIP": -54; "VIT_Staff": -55; "VIT_TPO": -56; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506020029,58,25.10,33.23,48.0,17.14,18.41,0.40,"{"VIT_VIP": -54; "VIT_Staff": -55; "VIT_TPO": -56; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506020546,58,25.10,33.23,44.4,18.59,18.70,-0.47,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506020629,59,25.61,33.75,45.7,18.69,19.55,-0.94,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506020988,60,26.10,34.27,46.5,19.90,20.94,-0.17,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506021413,61,26.62,34.77,44.0,18.20,17.66,0.07,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506021550,61,26.62,34.77,45.2,17.66,18.01,-1.29,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506021808,62,27.11,35.30,47.4,17.65,19.66,-0.92,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506022552,62,27.11,35.30,47.1,17.49,18.50,0.24,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506022590,63,27.60,35.82,46.7,17.40,18.22,0.33,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506023154,64,28.06,36.38,50.9,17.26,21.14,-1.99,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506023555,64,28.06,36.38,49.4,18.77,21.47,-1.53,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506023671,65,28.54,36.92,47.6,18.89,20.05,-2.34,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506024274,66,29.07,37.41,43.3,20.42,19.28,-4.73,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506024556,66,29.07,37.41,40.7,22.67,19.41,-2.53,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506024874,67,29.64,37.85,37.5,21.41,15.97,-3.32,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506025475,68,30.17,38.33,41.8,19.00,17.24,-3.75,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506025559,68,30.17,38.33,42.7,18.74,17.58,-3.71,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506026030,69,30.69,38.83,43.9,16.08,15.18,-3.51,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506026560,69,30.69,38.83,48.7,14.34,16.63,-6.55,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506026795,70,31.14,39.39,51.1,15.09,18.66,-6.17,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506027296,71,31.64,39.91,46.7,14.43,14.69,-4.94,"{"VIT_VIP": -50; "VIT_Staff": -51; "VIT_TPO": -52; "bc:22:28:bc:a7:57": -53; "VIT_STUDENT": -53}"
1779506027563,71,31.64,39.91,42.0,13.38,12.43,-5.27,"{"VIT_Staff": -53; "VIT_TPO": -54; "VIT_VIP": -50; "VIT_TPO": -54; "VIT_Staff": -53}"
1779506028031,72,32.15,40.42,44.7,16.56,16.05,-5.01,"{"VIT_Staff": -53; "VIT_TPO": -54; "VIT_VIP": -50; "VIT_TPO": -54; "VIT_Staff": -53}"
1779506028516,73,32.74,40.83,34.8,17.59,11.52,-2.14,"{"VIT_Staff": -53; "VIT_TPO": -54; "VIT_VIP": -50; "VIT_TPO": -54; "VIT_Staff": -53}"
1779506028566,73,32.74,40.83,32.7,17.23,10.41,-2.10,"{"VIT_Staff": -53; "VIT_TPO": -54; "VIT_VIP": -50; "VIT_TPO": -54; "VIT_Staff": -53}"
