# MAG-FI RAW MAPPING DATA
# Mapper: Shant
# Building: 1
# Floor: 3
# Exported: 20260521_173715
# Total rows: 100

timestamp,step_count,pos_x,pos_y,heading,mag_x,mag_y,mag_z,wifi_payload
1779365228731,46,32.42,-6.58,344.3,53.69,-15.60,-21.02,"{"VIT_VIP": -57; "VIT_VIP": -57; "VIT_TPO": -59; "VIT_STUDENT": -57; "VIT_TPO": -59}"
1779365229586,47,33.12,-6.75,346.3,54.40,-12.91,-23.44,"{"VIT_VIP": -57; "VIT_VIP": -57; "VIT_TPO": -59; "VIT_STUDENT": -57; "VIT_TPO": -59}"
1779365229734,47,33.12,-6.75,347.1,54.99,-12.37,-22.42,"{"VIT_VIP": -57; "VIT_VIP": -57; "VIT_TPO": -59; "VIT_STUDENT": -57; "VIT_TPO": -59}"
1779365230135,48,33.82,-6.93,345.6,54.94,-14.67,-22.59,"{"VIT_VIP": -57; "VIT_VIP": -57; "VIT_TPO": -59; "VIT_STUDENT": -57; "VIT_TPO": -59}"
1779365230749,48,33.82,-6.93,346.0,55.19,-13.56,-24.12,"{"VIT_STUDENT": -56; "VIT_TPO": -59; "VIT_VIP": -57; "VIT_Staff": -56; "VIT_TPO": -59}"
1779365231690,49,34.51,-7.13,344.3,54.84,-15.43,-23.31,"{"VIT_STUDENT": -56; "VIT_TPO": -59; "VIT_VIP": -57; "VIT_Staff": -56; "VIT_TPO": -59}"
1779365231750,49,34.51,-7.13,344.4,54.93,-15.20,-23.52,"{"VIT_STUDENT": -56; "VIT_TPO": -59; "VIT_VIP": -57; "VIT_Staff": -56; "VIT_TPO": -59}"
1779365232274,50,35.21,-7.30,345.7,55.75,-13.94,-24.38,"{"VIT_STUDENT": -56; "VIT_TPO": -59; "VIT_VIP": -57; "VIT_Staff": -56; "VIT_TPO": -59}"
1779365232751,50,35.21,-7.30,344.3,56.42,-16.31,-21.99,"{"VIT_STUDENT": -56; "VIT_TPO": -59; "VIT_VIP": -57; "VIT_Staff": -56; "VIT_TPO": -59}"
1779365233751,50,35.21,-7.30,347.4,58.01,-12.74,-25.32,"{"VIT_STUDENT": -56; "VIT_TPO": -59; "VIT_VIP": -57; "VIT_Staff": -56; "VIT_TPO": -59}"
